,details
174,"{'Location': '7th Main Road judicial layuot, yelahanka, Devanahalli, Bangalore, India, 560065', 'overall_rating': '7.3', 'Name': 'HOTEL SLN Homes', 'reviews': [{'Review_Rating': '1.0', 'Review_Heading': 'Bad”', 'Review_Body': 'I did not like anything'}, {'Review_Rating': '1.0', 'Review_Heading': 'Bad”', 'Review_Body': 'Worst'}, {'Review_Rating': '7.0', 'Review_Heading': 'ok”', 'Review_Body': 'nearby a friend'}, {'Review_Rating': '7.0', 'Review_Heading': 'just to visit a friend nearby”', 'Review_Body': 'basis and simple'}, {'Review_Rating': '10.0', 'Review_Heading': 'Exceptional”', 'Review_Body': 'Everything is perfect'}, {'Review_Rating': '10.0', 'Review_Heading': 'Awesome”', 'Review_Body': 'Atmosphere and cleanliness staff are well mannered Happy to endorse'}, {'Review_Rating': '10.0', 'Review_Heading': 'Exceptional”', 'Review_Body': 'Cleanliness'}, {'Review_Rating': '7.0', 'Review_Heading': 'Procedural lapse”', 'Review_Body': 'The hotel was not aware of booking. We stood for 30 minutes at the reception. There being no room available, we were then provided accommodation in the other property of the group which was 3 km away. Overall, more than 90 minutes were wasted to get into the room.'}, {'Review_Rating': '10.0', 'Review_Heading': 'Exceptional”', 'Review_Body': 'Great experience staying at SLN homes, very homely atmosphere, clean rooms, friendly staff and great choice to stay with family.'}], 'price': '1,246', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/387884292.jpg?k=748179cacefa2b9b2b217381bbbdb05b8c4d2dc0c7fda57cd86b7539d3237c51&o=', 'room_size': '180m²', 'amenities': ['Outdoor view', 'Balcony/terrace', 'Shower', 'Hair dryer', 'Toiletries', 'Towels', 'Telephone', 'TV [flat screen]', 'Air conditioning', 'Alarm clock', 'Fan', 'Linens', 'Private entrance', 'Soundproofing', 'Wake-up service', 'Desk', 'Fireplace', 'Interconnecting room(s) available', 'Seating area', 'Sofa', 'Tile/marble flooring', 'Closet', 'Clothes rack', 'Ironing facilities', 'Trouser press', 'In-room safe box'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/hotel-sln-homes/hotel/all/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=0a986338-6781-4735-af11-1f2c32d7a5e9'}"
175,"{'Location': '168168 service road ,hosur road bandepalaya, Bomma halli Zone, Bengaluru, Kar takaBangaloreKar takaIndia560030, Electronic City, Bangalore, India, 560030', 'overall_rating': '7.4', 'Name': 'OYO Flagship 79509 Phoenix Residency', 'reviews': [{'Review_Rating': '2.8', 'Review_Heading': 'Pathetic”', 'Review_Body': 'No words other than pathetic, to explain the experience '}, {'Review_Rating': '4.0', 'Review_Heading': 'Acceptable”', 'Review_Body': ""Very normal.. it's not worth for the money charged ""}, {'Review_Rating': '3.6', 'Review_Heading': 'Not good”', 'Review_Body': 'Match box like room.  Worst staff behaviour.'}], 'price': '1,503', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/404500174.jpg?k=6e1ffddf87aa939dfbd7e75d278d0155f5c288e367f64f4fac50f9ddf5b4845e&o=', 'room_size': '12m²', 'amenities': ['Shower', 'Free Wi-Fi', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Air conditioning', 'Fan', 'Linens', 'Mosquito net', 'Wake-up service', 'Free bottled water', 'Desk', 'Trash cans', 'Closet', 'Accessible by elevator', 'Safety/security feature'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/oyo-79509-phoenix-residency/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=-1&los=1&searchrequestid=0a986338-6781-4735-af11-1f2c32d7a5e9'}"
176,"{'Location': '476, 3rd Main Rd, Beside Maruti Global, BEML Layout, Mailasandra, Raja rajeshwari nagar, Bengaluru, Karnataka 560059, India,Bangalore,Karnataka,560059,India, Jayanagar, Bangalore, India, 560059', 'overall_rating': '8.4', 'Name': 'OYO 84648 Three Drops Bar And Kitchen', 'reviews': [{'Review_Rating': '6.0', 'Review_Heading': 'Average”', 'Review_Body': 'Location & Room'}, {'Review_Rating': '4.0', 'Review_Heading': 'It was good except behaviour of receptionist.”', 'Review_Body': 'Breakfast 3limited. Menu was not hot.'}, {'Review_Rating': '5.0', 'Review_Heading': 'Passable”', 'Review_Body': 'lack of manpower/electricity problem/wifi problem'}, {'Review_Rating': '10.0', 'Review_Heading': 'Good service”', 'Review_Body': 'The service was very good'}, {'Review_Rating': '9.0', 'Review_Heading': 'Good and affordable option at a nice location”', 'Review_Body': 'Room condition exactly as shown in the images. Room service was slightly delaying, but overall it was manageable. Location was fantastic and the rooftop bar added an icing on the cake.'}, {'Review_Rating': '9.0', 'Review_Heading': 'Best and economical”', 'Review_Body': 'The room was clean and all the basic facilities were provided, good staff'}], 'price': '2,001', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/354959775.jpg?k=6ac02c88104eb820346d8956c139cc24e877b5c071e9717d6c30bfec31c32a71&o=', 'room_size': '19m²', 'amenities': ['Shower', 'Free Wi-Fi', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Air conditioning', 'Fan', 'Linens', 'Mosquito net', 'Wake-up service', 'Free bottled water', 'Desk', 'Sofa', 'Trash cans', 'Closet', 'Accessible by elevator', 'Safety/security feature'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/pop-84648-three-drops-bar-and-kitchen/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=6&los=1&searchrequestid=0a986338-6781-4735-af11-1f2c32d7a5e9'}"
177,"{'Location': '91/2, Railway parallel Road, Yeshwanthpur, Rajajinagar, Bangalore, India, 560022', 'overall_rating': '6.3', 'Name': 'Veekay Residency', 'reviews': [{'Review_Rating': '7.0', 'Review_Heading': 'Good”', 'Review_Body': 'The location'}, {'Review_Rating': '1.0', 'Review_Heading': 'Frustrating experience.”', 'Review_Body': 'Nothing. I liked the fake reviews and false commitments made by the staff.'}, {'Review_Rating': '5.0', 'Review_Heading': 'Passable”', 'Review_Body': 'LOCATION & STAFF IS GOOD.'}, {'Review_Rating': '8.0', 'Review_Heading': 'Homely atmosphere.”', 'Review_Body': 'Everything was good'}, {'Review_Rating': '7.0', 'Review_Heading': 'Home feeling”', 'Review_Body': 'Its like a home feeling. From now i wont take hotels for long duration stays but only residencies'}, {'Review_Rating': '10.0', 'Review_Heading': 'Amusing”', 'Review_Body': 'Everything is fine,staff,room, location, communication.'}, {'Review_Rating': '7.0', 'Review_Heading': 'Overall good experience”', 'Review_Body': 'Location near to railway station'}, {'Review_Rating': '3.0', 'Review_Heading': 'Poor”', 'Review_Body': 'Illiterate and impolite staff.'}, {'Review_Rating': '2.0', 'Review_Heading': 'Very poor”', 'Review_Body': ""I'm Happy""}, {'Review_Rating': '3.3', 'Review_Heading': 'Poor”', 'Review_Body': 'I dont like anything.'}, {'Review_Rating': '4.0', 'Review_Heading': 'Bad”', 'Review_Body': 'Nothing'}, {'Review_Rating': '3.0', 'Review_Heading': 'Cheap, but worst one.”', 'Review_Body': 'Although the facilities were barely at the minimum level.'}], 'price': '999', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/248675225.jpg?k=b45788208559d0709446db2022db1634f33267664b373c0be24ec3bbc51ec4fc&o=', 'room_size': '33m²', 'amenities': ['Shower', 'Executive lounge access', 'Free Wi-Fi', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'TV [flat screen]', 'Adapter', 'Alarm clock', 'Fan', 'Linens', 'Sleep comfort items', 'Wake-up service', 'Desk', 'Fireplace', 'Trash cans', 'Window', 'Clothes rack', 'Accessible by stairs', 'Safety/security feature'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/veekay-residency/hotel/all/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=0a986338-6781-4735-af11-1f2c32d7a5e9'}"
178,"{'Location': 'HSR, Behind Adigas Restaurant, 1428, 21st Cross, 4th Main, Sector 7, HSR Layout Bangalore, Kormangala, Bangalore, India, 560102', 'overall_rating': '4.3', 'Name': 'Jagadish Hotel HSR', 'reviews': [{'Review_Rating': '1.0', 'Review_Heading': 'Not worth it!”', 'Review_Body': 'Location'}], 'price': '1,626', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/369273932.jpg?k=af066998681150fa6c21f11513bd750c2fa092033550806b05a92bf7dd8658cf&o=', 'room_size': '16m²', 'amenities': ['Shower', 'Free Wi-Fi', 'Mirror', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Air conditioning', 'Linens', 'Wake-up service', 'Desk', 'Closet', 'Clothes rack'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/fabhotel-stylotel-by-jagadish-hsr/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=0a986338-6781-4735-af11-1f2c32d7a5e9'}"
179,"{'Location': '29th Cross Road, Jayanagar, Bangalore, India, 560011', 'overall_rating': '7.6', 'Name': 'Hotel UR Comforts ', 'reviews': [{'Review_Rating': '2.8', 'Review_Heading': ""Don't ever book from agoda”"", 'Review_Body': 'They will steal your money'}], 'price': '3,102', 'img_link': 'https://pix8.agoda.net/hotelImages/260/26046525/26046525_210715140000103699318.jpg?s=1024x768', 'room_size': '200m²', 'amenities': ['City view', 'Shower', 'Executive lounge access', 'Free Wi-Fi', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Telephone', 'Adapter', 'Air conditioning', 'Alarm clock', 'Fan', 'Hand sanitizer', 'Linens', 'Sleep comfort items', 'Soundproofing', 'Umbrella', 'Wake-up service', 'Coffee/tea maker', 'Dining table', 'Desk', 'Fireplace', 'Seating area', 'Sofa', 'Tile/marble flooring', 'Closet', 'Ironing facilities', 'Trouser press', 'Fire extinguisher', 'First aid kit', 'In-room safe box', 'Locker', 'Safety/security feature'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/hotel-ur-comforts/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=-1&los=1&searchrequestid=0a986338-6781-4735-af11-1f2c32d7a5e9'}"
180,"{'Location': 'Banagirinagara, Banashankari 3rd StageBangaloreKarnatakaIndia560085, Jayanagar, Bangalore, India, 560085', 'overall_rating': '2.3', 'Name': 'SPOT ON 701605 Hotel Relax Inn', 'reviews': [{'Review_Rating': '1.0', 'Review_Heading': 'Make the hotel clean & let staff be proper”', 'Review_Body': 'As I did not like the hotel as it was not  hygiene so left in 1 day'}], 'price': '822', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/432922757.jpg?k=9f17b1377a8651271cdfaae3562fa5e99f91695ee823802f3aabdafc20bce2b6&o=', 'room_size': '0', 'amenities': ['TV', 'Air conditioning'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/spot-on-70160-hotel-relax-inn/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=0a986338-6781-4735-af11-1f2c32d7a5e9'}"
181,"{'Location': '448/388, SRK Towers, 3rd Floor, Above Big Bazar, Near IIMB and Apollo Fortis Hospital, Gottigere, Bangalore, India, 560076', 'overall_rating': '7.2', 'Name': 'Sri Sai Suites Bangalore', 'reviews': [{'Review_Rating': '8.0', 'Review_Heading': 'Very good”', 'Review_Body': 'Overall  it was very good. '}, {'Review_Rating': '2.4', 'Review_Heading': 'Fantastic ”', 'Review_Body': 'Fantastic '}], 'price': '1,682', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/423906436.jpg?k=d297d798a3c8e6d29d2aa05620ba1a6c8178929e00db527c1889eec052cc398f&o=', 'room_size': '14m²', 'amenities': ['Shower', 'Free Wi-Fi', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Telephone', 'Air conditioning', 'Fan', 'Hand sanitizer', 'Free bottled water', 'Seating area', 'Trash cans', 'Closet', 'Clothes rack', 'Fire extinguisher'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/sri-sai-suites-bangalore/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=0a986338-6781-4735-af11-1f2c32d7a5e9'}"
182,"{'Location': '480, 20th Main Rd, Mico Layout, Begur, Bangalore City Center, Bangalore, India, 560068', 'overall_rating': '4.4', 'Name': 'Jagadish Hotel Begur', 'reviews': [{'Review_Rating': '6.8', 'Review_Heading': 'The management was very kind & helpful ”', 'Review_Body': 'I couldn’t find the location on the night of my check-in & so the management helped with the stay the next day. I am truly grateful to the staff for their kindness. '}], 'price': '1,720', 'img_link': 'https://pix8.agoda.net/hotelImages/31279769/-1/6c5d478f94d818fd02b7057ed4c025f7.jpg?ce=0&s=1024x768', 'room_size': '18m²', 'amenities': ['Free Wi-Fi', 'Free Wi-Fi in all rooms!', 'Telephone', 'Air conditioning', 'Desk', 'First aid kit'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/octave-jagadish-begur-inn/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=0a986338-6781-4735-af11-1f2c32d7a5e9'}"
183,"{'Location': '1, #70,RJ Garden, Next to dominos building near cafe coffee day, Marathahalli, Whitefield, Bangalore, India, 560037', 'overall_rating': 'Select your room', 'Name': 'Capital O 60740 Silver Key', 'reviews': [{'Review_Rating': '7.6', 'Review_Heading': 'Silver Key”', 'Review_Body': 'The hospitality staff needs to improve their behavior. Even though the front desk staff was very cordial and helpful. Also the hotel TV/Cable does not work as they have not subscribed to any good channel. This did not happen even after complaining every day. Otherwise the hotel stay was comfortable. '}, {'Review_Rating': '10.0', 'Review_Heading': 'Exceptional”', 'Review_Body': 'Excellent stay, well maintained, neat & tidy, prompt service.'}, {'Review_Rating': '4.8', 'Review_Heading': 'Acceptable”', 'Review_Body': 'Nothing arrange '}], 'price': '1,958', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/371327937.jpg?k=da38ddd3666b152bda39e82a8428ae27ba7c8afefb068632a5921a8e2fa0b7bf&o=', 'room_size': '12m²', 'amenities': ['Shower', 'Free Wi-Fi', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Air conditioning', 'Fan', 'Linens', 'Mosquito net', 'Wake-up service', 'Free bottled water', 'Desk', 'Trash cans', 'Closet', 'Accessible by elevator', 'Safety/security feature'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/treebo-trend-silver-key-hotel/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=0a986338-6781-4735-af11-1f2c32d7a5e9'}"
184,"{'Location': 'No 53, Kadigana Halli Kempegowda International Airport road Bettahalasuru Cross,near Sha Shiba College,, Devanahalli, Bangalore, India, 562157', 'overall_rating': '6.0', 'Name': 'THE GREENCITY HOTELS', 'reviews': [{'Review_Rating': '7.0', 'Review_Heading': 'nice”', 'Review_Body': 'the room'}, {'Review_Rating': '7.0', 'Review_Heading': 'ITS A NEW HOTEL”', 'Review_Body': 'GOOD'}, {'Review_Rating': '2.0', 'Review_Heading': 'It was inconvenient.”', 'Review_Body': 'The caretaker was courteous.'}, {'Review_Rating': '6.0', 'Review_Heading': 'Pleasant”', 'Review_Body': 'New one so good'}, {'Review_Rating': '1.0', 'Review_Heading': 'Degaulasse , disgusting”', 'Review_Body': 'Rien'}], 'price': '1,725', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/405495704.jpg?k=ef0bf60ddaeb3a2d995fe2907c208907cb947e7d16ef1dab52df75053630e8d9&o=', 'room_size': '18m²', 'amenities': ['2 single beds', 'Outdoor view', 'Shower and bathtub', 'Toiletries', 'TV [flat screen]', 'Air conditioning', 'Fan', 'Trash cans'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/the-greencity-hotels/hotel/all/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=0a986338-6781-4735-af11-1f2c32d7a5e9'}"
185,"{'Location': '#81, Hospital Road, Near Upparpet Police Station, Balepet, Bangalore-560053, Bangalore City Center, Bangalore, India, 560053', 'overall_rating': '9.2', 'Name': 'Sri Kumara Lodge', 'reviews': [{'Review_Rating': '9.6', 'Review_Heading': 'Good service ”', 'Review_Body': 'Affordable price and good service'}, {'Review_Rating': '7.6', 'Review_Heading': 'Very good”', 'Review_Body': 'I found a cockroach under the blanket which was very repulsive'}, {'Review_Rating': '10.0', 'Review_Heading': 'nice one too stay with small budget”', 'Review_Body': 'nice one too stay with small budget'}, {'Review_Rating': '9.6', 'Review_Heading': 'Exceptional”', 'Review_Body': 'oK...TUDO CONFORME COMBINADO.'}], 'price': '1,104', 'img_link': 'https://pix8.agoda.net/hotelImages/106/10616050/10616050_19111112230083340499.jpg?ca=13&ce=1&s=1024x768', 'room_size': '180m²', 'amenities': ['2 single beds', 'Street view', 'Smoking allowed', 'Shower', 'Free Wi-Fi', 'Mirror', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Telephone', 'Fan', 'Linens', 'Wake-up service', 'Closet', 'Clothes dryer', 'Clothes rack', 'Ironing facilities'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/sri-kumara-lodge/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=-1&los=1&searchrequestid=0a986338-6781-4735-af11-1f2c32d7a5e9'}"
